code ;TYPE;Country of Origin;Sampling Date;Storage;Expiration date;Protein;OTA;Trichothecenes Type A;DON;Alternariol Toxins;ZEN;FB Toxins
PBM51;Plant based meatballs;Greece;03.12.24;Frozen;29.12.24;Soy;>LOQ;N;N;N;>LOQ;N
PBM52;Plant based salami;Germany;13.11.24;Refrigerated;06.12.24;Wheat/seitan;N;N;N;>LOQ;N;>LOQ
PBM53;Plant based sausage_2;Germany;13.11.24;Refrigerated;17.12.24;Wheat/seitan;>LOQ;N;>LOQ;>LOQ;>LOQ;>LOQ
PBM54;Plant based sausage;Germany;13.11.24;Refrigerated;14.01.25;Soybeans;N;N;N;>LOQ;>LOQ;>LOQ
PBM55;Plant based snitzel;Greece;15.01_25;Frozen;25.01.26;Soy;>LOQ;N;>LOQ;>LOQ;>LOQ;>LOQ
PBM56;Plant based nuggets;Greece;15.01_25;Frozen;03.12.25;Soy;N;N;>LOQ;N;N;N
PBM57;Plant based burger; Netherlands;15.01_25;Frozen;23.08.25;Peas;>LOQ;N;>LOQ;N;>LOQ;>LOQ
PBM58;Plant based chicken sticks; Netherlands;15.01_25;Frozen;01.07.26;Peas/wheat;N;N;N;N;N;N
PBM59;Plant based burger; Netherlands;15.01_25;Frozen;NA;Peas;N;N;N;>LOQ;N;N
PBM60;Plant based mince; Netherlands;15.01_25;Frozen;NA;Peas;N;N;N;>LOQ;N;>LOQ
PBM61;Plant based chicken balls;Greece/EU;15.01_25;Frozen;15.10.25;Wheat;>LOQ;N;>LOQ;>LOQ;>LOQ;>LOQ
PBM62;Plant based chicken nuggets;Greece/EU;15.01_25;Frozen;08.10.25;Wheat;N;>LOQ;>LOQ;>LOQ;>LOQ;>LOQ
PBM63;Plant based chicken sticks;Greece/EU;15.01_25;Frozen;12.10.25;Wheat;N;N;>LOQ;>LOQ;>LOQ;>LOQ
PBM64;Plant based burger;Greece;15.01_25;Frozen;02.07.25;Soy;N;N;>LOQ;>LOQ;>LOQ;>LOQ
PBM65;Plant based sausage;Greece;15.01_25;Frozen;21.01.25;Soy;N;>LOQ;N;>LOQ;>LOQ;>LOQ
PBM66;Plant based burger;Germany;15.01_25;Refrigerated;09.02.25;Soy;N;>LOQ;N;N;>LOQ;>LOQ
PBM67;Plant based burger;Germany;15.01_25;Refrigerated;09.02.25;Soy;>LOQ;N;N;>LOQ;>LOQ;>LOQ
PBM68;Plant based salami slices;Italy;15.01_25;Refrigerated;02.02.25;Soy;N;N;N;>LOQ;>LOQ;N
PBM69;Plant based souvlaki;Greece;15.01_25;Frozen;02.10.25;Wheat/chickpeas;>LOQ;N;N;>LOQ;N;N
PBM70;Plant based yiros;Greece;15.01_25;Frozen;30.08.25;Peas;>LOQ;>LOQ;>LOQ;>LOQ;>LOQ;N
;;;;;;;;;;;;
